dvanáct;dv-a-náct
epikur;epikur
severýnovO;severýn-ov-O
drkotali;drk-ot-a-l-i
sXoval;s-Xov-a-l
takže;tak-že
anglii;angl-i-i
psina;ps-in-a
nejzábavňejší;nej-zá-bav-ň-ej-š-í
nekompromisního;ne-kom-pro-mis-n-í-ho
namítal;na-mít-a-l
klOdná;klOd-n-á
oddaňe;od-d-a-ň-e
kterýX;kter-ý-X
zvané;zv-a-n-é
odvrací;od-vrac-í
zprošťen;z-prošť-en
zavazuje;za-vaz-u-j-e
pOžíti;pOž-í-ti
navlékl;na-vlék-l
jací;jac-í
halamo;halam-o
praskla;prask-l-a
jakém;jak-é-m
nešiku;nešik-u
prst;prst
sníh;sníh
výpravy;vý-prav-y
nebes;neb-es
porovnat;po-rov-n-a-t
hmotný;hmot-n-ý
katolické;katol-ic-k-é
vymstí;vy-mst-í
padala;pad-a-l-a
krevníX;krev-n-í-X
procesu;proces-u
skalní;skal-n-í
divocí;div-oc-í
potajmu;po-taj-m-u
tapiserií;tapiser-i-í
lev;lev
praďedeček;pra-ďed-eč-ek
žádáno;žád-á-n-o
přísní;přísn-í
landa;land-a
veškeru;veš-k-er-u
spJEXá;spJEX-á
vykonává;vy-kon-á-v-á
jiX;j-i-X
všiXni;vš-iX-ni
rozluštil;roz-lušt-i-l
nesedí;ne-sed-í
nepřišlo;ne-při-š-l-o
nevlídňe;ne-vlíd-ň-e
vJEřící;vJEř-í-c-í
hospodyňe;hospod-yň-e
zamiloval;za-mil-ova-l
znehodnocením;z-ne-hod-n-oc-en-í-m
Atoriťe;At-or-iť-e
založiti;za-lož-i-ti
osvJEtlení;o-svJEt-l-en-í
otcům;otc-ů-m
netOžit;ne-tOž-i-t
smrtelnému;s-mr-tel-n-é-mu
slávJE;sláv-JE
sluneční;slun-eč-n-í
rusalek;rusal-ek
vypadl;vy-pad-l
třikrát;tř-i-krát
žena;žen-a
graessner;graessner
komteskO;komt-es-k-O
spOtán;s-pOt-á-n
neubylo;ne-u-by-l-o
oknu;okn-u
prohnaného;pro-hn-a-n-é-ho
vďečí;v-ďeč-í
úzko;úz-k-o
okénko;okén-k-o
indije;ind-ij-e
svJEt;svJEt
konflikty;kon-flikt-y
nalaďeného;na-laď-en-é-ho
olezlejší;o-lez-l-ej-š-í
ozbrojena;o-z-broj-en-a
mandžurii;mandžur-i-i
dopomohl;do-po-moh-l
program;pro-gram
příkladňe;pří-klad-ň-e
styl;styl
maminko;mam-in-k-o
hlas;hlas
vJEdomím;vJEd-om-í-m
přiléhající;při-léh-aj-í-c-í
povJEsili;po-vJEs-i-l-i
celost;cel-ost
odklízení;od-klíz-e-n-í
poslOXáš;po-slOX-á-š
plodnost;plod-n-ost
stáhnO;s-táh-n-O
představový;před-stav-ov-ý
nemoh;ne-moh
zakázáno;za-káz-á-n-o
začali;za-č-a-l-i
pustit;pust-i-t
roztrhal;roz-trh-a-l
belijefs;belijefs
dobrém;dobr-é-m
pýXa;pýX-a
kamaše;kamaš-e
zamračil;za-mrač-i-l
vyšetřovací;vy-šetř-ova-c-í
nepodávaje;ne-po-d-á-v-aj-e
pokojíček;po-koj-íč-ek
poXopitelný;po-Xop-i-tel-n-ý
žluvy;žluv-y
jakožto;jak-o-ž-to
silným;sil-n-ý-m
střelilo;střel-i-l-o
vyšetříme;vy-šetř-í-me
latinsky;latin-sk-y
bližního;bliž-n-í-ho
ohřej;o-hře-j
skučel;skuč-e-l
fibiXa;fibiX-a
lOpežníka;lOp-ež-n-ík-a
skočí;skoč-í
mezi;mezi
vztekem;vz-tek-e-m
upustila;u-pust-i-l-a
navrXu;na-vrX-u
nehet;nehet
kdo;kd-o
sOstavJE;sO-stav-JE
jiné;jin-é
hoho;ho-ho
ňemecká;ňem-ec-k-á
nejhorší;nej-hor-š-í
rozbJEhl;roz-bJEh-l
ďeláte;ďel-á-te
pláXnu;pláX-n-u
mezinárodní;mezi-ná-rod-n-í
klín;klín
hrubiáne;hrub-i-án-e
dostali;do-sta-l-i
jmenuje;jmen-u-j-e
kOpil;kOp-i-l
silO;sil-O
slib;slib
jste;js-te
budOcňe;bud-O-c-ň-e
točila;toč-i-l-a
nevidíte;ne-vid-í-te
nejméňe;nej-méň-e
tuleňe;tuleň-e
příčiny;pří-čin-y
neskrývá;ne-s-krýv-á
ranní;ran-n-í
rána;rán-a
vyhleďet;vy-hleď-e-t
kudlu;kudl-u
pejsek;pejs-ek
potomka;po-t-o-m-k-a
stříbrolesklého;stříbr-o-lesk-l-é-ho
starOsedlíci;star-O-sed-l-íc-i
zpracovat;z-prac-ova-t
předníX;před-n-í-X
sociální;soci-ál-n-í
polily;po-lil-y
lesy;les-y
zlu;zl-u
nadpočetné;nad-po-čet-n-é
ležete;lež-e-te
seppem;sepp-e-m
žádal;žád-a-l
dala;d-a-l-a
nekonečnýX;ne-koneč-n-ý-X
jakosti;jak-ost-i
jmenoviťe;jmen-ov-iť-e
scenérije;scen-ér-ij-e
zabručeli;za-bruč-e-l-i
hrdinu;hrd-in-u
divní;div-n-í
sOši;sOš-i
příčina;pří-čin-a
dívat;dív-a-t
pýXy;pýX-y
smetanový;smetan-ov-ý
paXolkové;paXol-k-ové
poukazovati;po-u-kaz-ova-ti
vyložil;vy-lož-i-l
hledají;hled-aj-í
xxx;xxx
intelektuálňe;intelekt-u-ál-ň-e
papOšek;papOš-ek
civilního;civil-n-í-ho
epický;ep-ic-k-ý
např;např
uspokojí;u-s-po-koj-í
nana;nan-a
loisy;loisy
všema;vš-e-m-a
sametovýX;samet-ov-ý-X
klokotá;klokot-á
nasbíral;na-s-bír-a-l
sáhl;sáh-l
výhrady;vý-hrad-y
požadavky;po-žad-a-v-k-y
rozkázal;roz-káz-a-l
zraj;zra-j
ňečí;ňe-č-í
přemýšlet;pře-mýšl-e-t
vrrrrr;vrrrrr
podlaze;po-dlaz-e
zličku;zličk-u
otevřel;ote-vř-e-l
vlaštovka;vlašt-ov-k-a
harmonije;harmon-ij-e
názory;ná-zor-y
truhlářský;truhl-ář-sk-ý
duše;duš-e
nejstrašňejší;nej-straš-ň-ej-š-í
úhrnné;ú-hrn-n-é
redakci;redakc-i
dávej;d-á-v-ej
dekO;dek-O
vlOdit;v-lOd-i-t
nekOpíme;ne-kOp-í-me
života;ži-v-ot-a
dovolává;do-vol-á-v-á
počitkového;po-či-t-k-ov-é-ho
napálím;na-pál-í-m
znovu;z-nov-u
rozkladu;roz-klad-u
koherentního;ko-her-ent-n-í-ho
pJEst;pJEst
vztekle;vz-tek-l-e
dlaní;dlan-í
vrátil;vrát-i-l
sOdci;sOd-c-i
dámy;dám-y
pokřižoval;po-křiž-ova-l
umdlený;u-mdl-e-n-ý
bručí;bruč-í
naši;n-a-š-i
varšavy;varšav-y
stole;stol-e
pojetí;po-j-e-t-í
bílí;bíl-í
vašimi;v-a-š-i-m-i
vltavu;vltav-u
dusil;dus-i-l
MŇEsíc;MŇEsíc
hegelianism;hegelian-ism
jemináčku;jemináčku
vysvJEtloval;vy-svJEt-l-ova-l
kostely;kostel-y
říze;říz-e
náturu;nátur-u
vyčkat;vy-čk-a-t
napoprvé;na-po-prv-é
takhle;tak-hle
přírodovJEdeckému;pří-rod-o-vJEd-ec-k-é-mu
životem;ži-v-ot-e-m
dechem;dech-e-m
lehkým;leh-k-ý-m
převysoko;pře-vys-ok-o
dojiti;doj-i-ti
vlivem;vliv-e-m
já;já
fenomenalismu;fenomen-al-ism-u
přineseme;při-nes-e-me
vymotal;vy-mot-a-l
přeletí;pře-let-í
humny;humn-y
jsou;js-ou
volá;vol-á
ňejakO;ňe-jak-O
velkoobXodník;vel-k-o-ob-Xod-n-ík
rAbíři;rAb-íř-i
westermann;westermann
vykládanO;vy-klád-a-n-O
protilehlýX;proti-leh-l-ý-X
krev;krev
neobrátil;ne-ob-rát-i-l
počkám;po-čk-á-m
jakživi;jak-ži-v-i
Atority;At-or-it-y
lumpové;lump-ové
raport;raport
možný;mož-n-ý
nalézt;na-léz-t
přirostlá;při-rost-l-á
tOhy;tOh-y
jednati;jedn-a-ti
hrabO;hrab-O
žid;žid
neřeknu;ne-řek-n-u
poznalo;po-zn-a-l-o
však;však
sOsedy;sO-sed-y
hořela;hoř-e-l-a
základem;zá-klad-e-m
blOdila;blOd-i-l-a
mnohem;mnoh-e-m
vincku;vinck-u
přec;přec
racionalism;racion-al-ism
sirotkům;sir-ot-k-ů-m
uďelejte;u-ďel-ej-te
narodily;na-rod-i-l-y
trvají;trv-aj-í
volbJE;vol-b-JE
čtenář;čt-en-ář
václavem;václav-e-m
melodií;melod-i-í
sníst;snís-t
bude;bud-e
zavzlykl;za-vz-lyk-l
válela;vál-e-l-a
faktů;fakt-ů
cestovateli;cest-ova-tel-i
týden;týden
stydí;styd-í
přísahat;pří-sah-a-t
kritikO;krit-ik-O
lOpaje;lOp-aj-e
obťežovat;ob-ťež-ova-t
rus;rus
grófinka;grófin-k-a
gypsovku;gyps-ov-k-u
posvátny;po-svát-n-ý
mrXo;mrX-o
úspJEšíX;ú-spJEš-í-X
filozofovJE;filo-zof-ov-JE
naříkal;na-řík-a-l
uhodil;u-hod-i-l
drbat;drb-a-t
vlezlo;v-lez-l-o
nápadňejší;ná-pad-ň-ej-š-í
pekařský;pek-ař-sk-ý
bůhvíkde;bůh-v-í-kd-e
zrzavý;zrz-av-ý
nezabíjejte;ne-za-bíj-ej-te
jídá;jí-d-á
podívaná;po-dív-a-n-á
bezmeznO;bez-mez-n-O
hrajete;hra-j-e-te
nekonečné;ne-koneč-n-é
srsti;srst-i
hOstičku;hOs-t-ič-k-u
kasíra;kas-ír-a
systém;systém
zasyčela;za-syč-e-l-a
zpracovati;z-prac-ova-ti
rozkaz;roz-kaz
hlášeni;hláš-en-i
pantátovi;pan-tát-ovi
splnil;s-pln-i-l
rozvahO;roz-vah-O
bimbala;bimb-a-l-a
silná;sil-n-á
nepoví;ne-po-v-í
česky;čes-k-y
nepovolí;ne-po-vol-í
trOba;trOb-a
šeredného;šered-n-é-ho
zázracíX;zá-zr-ac-í-X
rozestřel;roze-stř-e-l
lahvička;lahv-ič-k-a
neurčitém;ne-urč-it-é-m
pane;pan-e
tlustí;tlust-í
pJEstuj;pJEst-u-j
sledují;sled-u-j-í
kraj;kraj
holt;holt
vOsů;vOs-ů
smutnO;smut-n-O
odborník;od-bor-n-ík
pedantismu;pedant-ism-u
bídný;bíd-n-ý
znát;zn-á-t
leťela;leť-e-l-a
sem;sem
zahrada;za-hrad-a
janovského;janov-sk-é-ho
přemýšlí;pře-mýšl-í
zašel;za-še-l
nerada;ne-rad-a
vypsané;vy-ps-a-n-é
hmatal;hmat-a-l
zkuste;z-kus-te
vlaštovek;vlašt-ov-ek
zevního;ze-vn-í-ho
nelíbí;ne-líb-í
svídnici;svídnic-i
kardašořečickým;kardaš-o-řečic-k-ý-m
lesů;les-ů
neroztříšťená;ne-roz-tříšť-en-á
strčit;strč-i-t
zakusitelno;za-kus-i-tel-n-o
nenáleželo;ne-ná-lež-e-l-o
spojení;s-poj-en-í
úsilné;ú-sil-n-é
spornýX;s-por-n-ý-X
zablátil;za-blát-i-l
přítelíčku;pří-tel-íč-k-u
rozporů;roz-por-ů
nejsnažňeji;nej-snaž-eji
domluvil;do-mluv-i-l
odvraťme;od-vrať-me
nestřásli;ne-s-třás-l-i
nálepka;ná-lep-k-a
princezničko;princ-ez-n-ič-k-o
srovnávají;s-rov-n-á-v-aj-í
majetek;maj-et-ek
bod;bod
kOpím;kOp-í-m
vysadit;vy-sad-i-t
kubíkovic;kubík-ov-ic
dlani;dlan-i
pořídil;po-říd-i-l
blOde;blOd-e
slavíci;slavíc-i
nerovnost;ne-rov-n-ost
zastaví;za-stav-í
básní;básn-í
srdečňe;srd-eč-ň-e
mejtným;mejt-n-ý-m
předstihujícím;před-stih-uj-í-c-í-m
riviéře;riviéř-e
hor;hor
prodává;pro-d-á-v-á
písařkO;pís-ař-k-O
vytáhl;vy-táh-l
odraz;od-raz
ostuda;o-stud-a
strašil;straš-i-l
přiklání;při-klán-í
kvákají;kvák-aj-í
sepjal;se-pj-a-l
sbírkáX;s-bír-k-á-X
vševJEdova;vševJEd-ov-a
povstávaje;po-v-stá-v-aj-e
marca;marc-a
ses;se-s
hOpe;hOp-e
myšlenkami;myšl-e-n-k-a-m-i
teoretické;teor-et-ic-k-é
šplOná;šplO-n-á
devadesáti;deva-desát-i
vmyslil;v-mysl-i-l
vaihinger;vaihinger
prsten;prst-en
skutek;s-kut-ek
potřebovala;po-třeb-ova-l-a
námahO;ná-mah-O
pravd;prav-d
hnali;hn-a-l-i
pistolí;pistol-í
četu;čet-u
vysoce;vys-oc-e
lidskému;lid-sk-é-mu
senzualisty;senz-u-al-ist-y
cumlíkem;cuml-ík-e-m
nedostal;ne-do-sta-l
posvJEtil;po-svJEt-i-l
poznávacího;po-zn-á-v-a-c-í-ho
dddo;dddo
propadlo;pro-pad-l-o
potrefený;po-tref-en-ý
vzdálený;vz-dál-en-ý
sovrýnů;sovrýn-ů
výsledky;vý-sled-k-y
volaly;vol-a-l-y
spravedlnost;s-prav-ed-l-n-ost
volbami;vol-b-a-m-i
tradici;trad-ic-i
hodovati;hod-ova-ti
dupy;dupy
plavby;plav-b-y
straňe;straň-e
vlakem;vlak-e-m
zpocený;z-poc-en-ý
otázkáX;o-táz-k-á-X
zbečníku;zbečník-u
vranami;vran-a-m-i
obsahuje;ob-sah-u-j-e
sliboval;slib-ova-l
převládá;pře-vlád-á
rožmberku;rožmberk-u
zemí;zem-í
tenise;tenis-e
pacijentovi;pac-ij-ent-ovi
zasmušilý;za-smuš-i-l-ý
předXázejí;před-Xáz-e-j-í
zažití;za-ži-t-í
úspJEXu;ú-spJEX-u
utekl;u-tek-l
mystickým;myst-ic-k-ý-m
Otratu;O-trat-u
zátočiny;zá-toč-in-y
obXodníky;ob-Xod-n-ík-y
bledO;bled-O
kozáků;kozák-ů
otče;otč-e
uznávané;u-zn-á-v-a-n-é
přestrojil;pře-stroj-i-l
vrabců;vrab-c-ů
kudlO;kudl-O
hybernské;hybern-sk-é
služka;služ-k-a
čistoty;čist-ot-y
na;na
hledisku;hled-isk-u
piastrů;piastr-ů
sebral;se-br-a-l
tobJE;t-ob-JE
vJEtšími;vJEt-š-í-m-i
vlečník;vleč-n-ík
kroků;krok-ů
telefonoval;tele-fon-ova-l
dohrabal;do-hrab-a-l
sedmihraďák;sedmihraď-ák
človíčku;človíč-k-u
mozku;mozk-u
jitrnice;jitr-nic-e
nosítkáX;nos-í-tk-á-X
točilo;toč-i-l-o
docházel;do-cház-e-l
sanders;sanders
nástrojem;ná-stroj-e-m
požár;po-žár
tvrzeníX;tvrz-en-í-X
státi;stá-ti
často;čast-o
kategorií;kategor-i-í
provozuje;pro-voz-u-j-e
ohavné;ohav-n-é
prospJEX;pro-spJEX
stejnO;stej-n-O
pomenší;po-men-š-í
čekalo;ček-a-l-o
smrt;s-mr-t
střelila;střel-i-l-a
mniXova;mniXov-a
rukama;ruk-a-m-a
zpitoMŇElé;z-pit-oMŇ-e-l-é
vojáky;voj-ák-y
bJEžte;bJEž-te
denním;den-n-í-m
pastviny;pas-tv-in-y
slibovali;slib-ova-l-i
tuze;tuz-e
neXytí;ne-Xyt-í
zrcadélka;zrc-a-dél-k-a
zákonů;zá-kon-ů
poMŇEreX;po-MŇEr-e-X
zákonodárství;zá-kon-o-dár-stv-í
materiálu;mater-i-ál-u
bOXni;bOx-n-i
pohoršeňe;po-hor-š-e-ň-e
špaček;špaček
pOšťemi;pOšť-e-m-i
plátýnka;plát-ýn-k-a
orijentální;orijent-ál-n-í
sevřeňe;se-vř-e-ň-e
nekOpil;ne-kOp-i-l
babiččinu;babič-č-in-u
podívat;po-dív-a-t
proniknOti;pro-nik-nO-ti
milý;mil-ý
stavení;sta-v-en-í
čepeli;čepel-i
darebo;dareb-o
neznal;ne-zn-a-l
drobty;drob-t-y
osobníX;o-s-ob-n-í-X
detektývem;de-tekt-ýv-e-m
rozumím;roz-um-í-m
zlý;zl-ý
prodat;pro-d-a-t
krásňejšího;krás-ň-ej-š-í-ho
cestO;cest-O
taškářů;taš-k-ář-ů
sOvislá;sO-vis-l-á
uhlazeností;u-hlaz-en-ost-í
anilínu;anil-ín-u
obžalovanému;ob-žal-ova-n-é-mu
vystrkovat;vy-strk-ova-t
grusona;gruson-a
metry;metr-y
ratafije;ratafij-e
ňečemu;ňe-č-e-mu
páteříček;páteř-íč-ek
zobání;zob-á-n-í
slabOnce;slab-On-c-e
záleží;zá-lež-í
výrazy;vý-raz-y
olomOc;olomOc
Xytit;Xyt-i-t
tomto;t-o-m-to
Xlup;Xlup
kuakuakunka;kuakuakunk-a
činorodé;čin-o-rod-é
půlnoci;půl-noc-i
olinko;ol-in-k-o
rozhodnutím;roz-hod-nu-t-í-m
míň;míň
šikovnost;šik-ov-n-ost
zapíXnul;za-píX-nu-l
díla;díl-a
odvody;od-vod-y
vodu;vod-u
volovinky;vol-ov-in-k-y
počitku;po-čit-k-u
omezena;o-mez-en-a
přišli;při-š-l-i
nějaký;ně-jak-ý
rozporeX;roz-por-e-X
jednadvaceti;jedn-a-dv-a-cet-i
ušleXtilá;u-šleXt-i-l-á
flekatá;flek-at-á
noci;noc-i
melodije;melod-ij-e
srážka;sráž-k-a
bez;bez
veskrze;ve-skrze
vzdáleni;vz-dál-en-i
paničkami;pan-ič-k-a-m-i
protagorova;protagor-ov-a
stříbrný;stříbr-n-ý
štkání;štk-á-n-í
živel;ži-v-el
palčivý;pal-č-iv-ý
vynalézání;vy-na-léz-á-n-í
stříbrnýX;stříbr-n-ý-X
píšu;píš-u
hoden;hod-en
ďení;ďe-n-í
k;k
mandl;mandl
nadzvednOt;nad-z-ved-nO-t
střídu;s-tříd-u
prázdného;prázd-n-é-ho
kódu;kód-u
začnO;za-č-n-O
objektivního;ob-jekt-iv-n-í-ho
sláva;sláv-a
sedlák;sed-l-ák
dovolit;do-vol-i-t
nezapírala;ne-za-pír-a-l-a
silné;sil-n-é
okrašlovací;o-kraš-l-ova-c-í
jednak;jednak
nezapomeňte;ne-za-pomeň-te
smyslem;s-mysl-e-m
dobJE;dob-JE
planeťe;planeť-e
životní;ži-v-ot-n-í
valil;val-i-l
reymonta;reymont-a
hesly;hesl-y
dorozuMŇEní;do-roz-uMŇ-E-n-í
pokračováním;po-krač-ová-n-í-m
převracel;pře-vrac-e-l
radili;rad-i-l-i
gotýsek;gotýsek
zasedli;za-sed-l-i
mořské;moř-sk-é
MŇEsta;MŇEst-a
zbytečno;z-by-t-eč-n-o
katar;katar
obvody;ob-vod-y
pustila;pust-i-l-a
uniformovaný;uni-form-ova-n-ý
činností;čin-n-ost-í
uvázlo;u-váz-l-o
časného;čas-n-é-ho
vypadají;vy-pad-aj-í
pantátovO;pan-tát-ov-O
stená;sten-á
budOcnost;bud-O-c-n-ost
odjezdu;od-jezd-u
vnucuje;v-nuc-u-j-e
vJEřiti;vJEř-i-ti
pruské;prus-k-é
božského;bož-sk-é-ho
fleku;flek-u
přisvJEdčením;při-s-vJEd-č-en-í-m
vyrůst;vy-růs-t
prOd;prOd
neroztrhali;ne-roz-trh-a-l-i
doXázelo;do-Xáz-e-l-o
nešpatnO;ne-špat-n-O
brOk;brOk
potřásá;po-třás-á
zatočí;za-toč-í
uher;uher
poručil;po-ruč-i-l
lítost;lít-ost
přišlo;při-š-l-o
přizpůsobuje;při-z-pů-sob-u-j-e
skřípal;skříp-a-l
průhledy;prů-hled-y
kost;kost
cílů;cíl-ů
kus;kus
oddávala;od-d-á-v-a-l-a
moci;moc-i
svého;s-v-é-ho
trápí;tráp-í
nasXvál;na-s-Xvál
nepřemýšlí;ne-pře-mýšl-í
rozestřela;roze-stře-l-a
posluhovačka;po-slu-ova-č-k-a
lidmi;lid-m-i
důvJErné;dů-vJEr-n-é
pozďeji;pozď-eji
komandu;komand-u
nenAčili;na-n-Ač-i-l-i
rtyni;rtyn-i
samá;sam-á
zahraniční;za-hran-ič-n-í
idealistický;ideal-ist-ic-k-ý
alice;alic-e
silňe;sil-ň-e
bačkora;bačkor-a
rozlepit;roz-lep-i-t
šatny;šat-n-y
vJErO;vJEr-O
zázračňe;zá-zrač-ň-e
lalala;la-la-la
přípaďe;pří-paď-e
pořídím;po-říd-í-m
řval;řv-a-l
vyklubal;vy-klub-a-l
dálky;dál-k-y
tančí;tanč-í
protivy;protiv-y
hrůza;hrůz-a
hádaly;hád-a-l-y
dobrým;dobr-ý-m
kořisti;kořist-i
sedly;sed-l-y
kOzelníkovu;kOzel-n-ík-ov-u
nevím;ne-v-í-m
poustevníci;poust-ev-n-íc-i
špatný;špat-n-ý
klepat;klep-a-t
skočil;skoč-i-l
upříst;u-přís-t
bratři;bratř-i
principem;princip-e-m
proMŇEnlivé;pro-MŇEn-l-iv-é
sďelte;s-ďel-te
dlOzí;dlOz-í
nataženy;na-taž-en-y
bříze;bříz-e
svíjí;s-víj-í
hlavním;hlav-n-í-m
počítal;po-čít-a-l
moskvy;moskv-y
interesu;interes-u
muzeu;muze-u
zlotřilec;z-lotř-i-l-ec
plavat;plav-a-t
maso;mas-o
pokutu;po-kut-u
dávejte;d-á-v-ej-te
anonymníX;an-onym-n-í-X
meKSika;meKSik-a
uléhali;u-léh-a-l-i
slepé;slep-é
zastavuje;za-sta-v-u-j-e
třicátého;tř-i-cát-é-ho
malO;mal-O
zaklepal;za-klep-a-l
nebavilo;ne-bav-i-l-o
plynulá;ply-nu-l-á
flétna;flét-n-a
trestanec;trest-a-n-ec
olysalém;o-lys-a-l-é-m
skutkem;s-kut-k-e-m
novoprotagoreismem;nov-o-protagor-e-ism-e-m
bJEželi;bJEž-e-l-i
možno;mož-n-o
dvorku;dvor-k-u
terezije;terezij-e
pohnutlivé;po-h-nu-t-l-i-v-é
odsOdili;od-sOd-i-l-i
úzkost;úz-k-ost
černá;čern-á
mateřídOška;mat-eř-í-dOš-k-a
udržovaný;u-drž-ova-n-ý
koruny;korun-y
šátek;šát-ek
zavrťel;za-vrť-e-l
sňedl;s-ňed-l
marnO;mar-n-O
štvanec;štv-a-n-ec
pocitem;po-cit-e-m
uškrcen;u-škrc-en
XalupJE;Xalup-JE
vyXázejí;vy-Xáz-ej-í
sOčinitelem;sO-čin-i-tel-e-m
našeho;n-a-š-e-ho
slunce;slun-c-e
spravedlnosti;s-prav-ed-l-n-ost-i
štíhlý;štíh-l-ý
uMŇEle;u-MŇ-E-l-e
potulku;po-tul-k-u
zpráv;z-práv
proMŇEňte;pro-MŇEň-te
protíral;pro-tír-a-l
aha;aha
rozpJEtí;roz-pJE-t-í
bezmoc;bez-moc
divnO;div-n-O
pojmu;po-jm-u
každé;každ-é
lhostejňe;lh-o-stej-ň-e
nepřináší;ne-při-náš-í
majitelem;maj-i-tel-e-m
přivedu;při-ved-u
kostariky;kostarik-y
procitlo;pro-cit-l-o
šťOXl;šťOx-l
hodnotňejší;hod-n-ot-ň-ej-š-í
oddiskutovat;od-diskut-ova-t
zařízeném;za-říz-en-é-m
pobídky;po-bíd-k-y
nadranc;na-dranc
posteli;po-stel-i
metrů;metr-ů
psací;ps-a-c-í
vynadáno;vy-na-d-á-n-o
téže;t-é-že
vypravoval;vy-prav-ova-l
skutečností;s-kut-eč-n-ost-í
požadavek;po-žad-a-v-ek
akademickému;akadem-ic-k-é-mu
vykřikli;vy-křik-l-i
četníkovi;čet-n-ík-ovi
hasičů;has-i-č-ů
ňekteří;ňe-kteř-í
stanoviti;stan-ov-i-ti
jak;jak
drahé;drah-é
mluvím;mluv-í-m
rOsseAovi;rOsseA-ovi
neleze;ne-lez-e
proXázeje;pro-Xáz-ej-e
panáčky;pan-áč-k-y
ví;v-í
zavraždí;za-vraž-d-í
mládenečky;mlád-en-eč-k-y
sXillerova;sXiller-ov-a
zlatýX;zlat-ý-X
dřevJEnO;dřev-JEn-O
pojednání;po-jedn-á-n-í
kradl;krad-l
sMŇErnicemi;s-MŇEr-n-ic-e-m-i
obviňen;ob-viň-en
škaredila;škared-i-l-a
vynaložením;vy-na-lož-en-í-m
boXník;boX-ník
teXnické;teXn-ic-k-é
ohlídne;o-hlíd-n-e
shledanO;s-hled-a-n-O
zaplatím;za-plat-í-m
čtyřicet;čtyř-i-cet
propíXnOt;pro-píX-nO-t
podřaďeno;pod-řaď-en-o
pocítil;po-cít-i-l
poštO;pošt-O
gangu;gang-u
padl;pad-l
pražský;praž-sk-ý
amerikanismem;amerik-an-ism-e-m
stržnickém;s-trž-n-ic-k-é-m
de;de
onoho;on-o-ho
vJEřili;vJEř-i-l-i
kroky;krok-y
velet;vel-e-t
přeXodné;pře-Xod-n-é
udrženy;u-drž-en-y
panu;pan-u
neskutečná;ne-s-kut-eč-n-á
panoval;pan-ova-l
pyramidy;pyramid-y
ostří;ostř-í
slupek;s-lup-ek
kšeftu;kšeft-u
šatlavy;šatl-av-y
nejkratší;nej-krat-š-í
japonsko;japon-sk-o
logická;log-ic-k-á
zahájeno;za-háj-en-o
úplňek;ú-plň-ek
strašná;straš-n-á
vzdušné;vz-duš-n-é
hlavní;hlav-n-í
přítomňe;pří-t-o-m-ň-e
čekal;ček-a-l
gAneři;gAneř-i
ďeťátko;ďeť-át-k-o
jakési;jak-é-si
zabitO;za-bi-t-O
nevyrušuji;ne-vy-ruš-u-j-i
dobru;dobr-u
huncúte;huncút-e
vášeň;vášeň
doprovody;do-pro-vod-y
sedící;sed-í-c-í
propálená;pro-pál-en-á
ruďe;ruď-e
rukO;ruk-O
duní;dun-í
zvíře;zvíř-e
octne;o-ct-n-e
kaše;kaš-e
stavJEna;stav-JE-n-a
tiXem;tiX-e-m
nadosobní;nad-o-sob-n-í
relativnost;rel-at-iv-n-ost
spiknutí;s-pik-nu-tí
rašple;rašpl-e
usiluje;u-sil-u-j-e
poňetí;po-ňe-t-í
ulOpil;u-lOp-i-l
brrr;brrr
prskla;prsk-l-a
vody;vod-y
nevyznalo;ne-vy-zn-a-l-o
ulítal;u-lít-a-l
tenká;ten-k-á
potřebu;po-třeb-u
kradená;krad-en-á
Oplné;O-pln-é
hezký;hez-k-ý
označující;o-znač-uj-í-c-í
slovu;slov-u
kupte;kup-te
vrata;vrat-a
provazníka;pro-vaz-ník-a
úcta;ú-ct-a
rozkvetlému;roz-kvet-l-é-mu
kancléř;kancl-éř
Xytřejší;Xytř-ej-š-í
vraceli;vrac-e-l-i
stavuji;stav-u-j-i
klečí;kleč-í
stupni;stup-n-i
fintu;fint-u
pláčem;pláč-e-m
pragmaticism;pragm-at-ic-ism
vším;vš-í-m
bere;ber-e
tiXá;tiX-á
pragmatistů;prag-at-ist-ů
vizitku;vizit-k-u
stránek;strán-ek
čestný;čest-n-ý
probudila;pro-bud-i-l-a
nebojíme;ne-boj-í-me
dopočítal;do-po-čít-a-l
skočili;skoč-i-l-i
buffina;buffin-a
vandráka;vandr-ák-a
zapomňel;za-po-mň-e-l
drahO;drah-O
vorgefundenen;vorgefundenen
zrání;zrá-n-í
anglické;angl-ic-k-é
lamarckova;lamarck-ov-a
stráže;stráž-e
propustil;pro-pust-i-l
kOťe;kOť-e
aristotelovi;aristotel-ovi
není;není
jí;j-í
řekli;řek-l-i
příští;příšt-í
rusové;rus-ové
rukaviček;ruk-av-ič-ek
kterýkoliv;kter-ý-koliv
královskýX;král-ov-sk-ý-X
žertovný;žert-ov-n-ý
dopočítat;do-po-čít-a-t
vraždili;vraž-d-i-l-i
stolici;stol-ic-i
události;u-dá-l-ost-i
rObalová;rObal-ov-á
kOsni;kOs-n-i
synovcem;syn-ov-c-e-m
přeMŇEnu;pře-MŇEn-u
flink;flink
zatřeskla;za-třesk-l-a
vyvolati;vy-vol-a-ti
okamžiku;ok-a-mžik-u
vlásku;vlás-k-u
